繁体字	规范字	异体字
繩	绳	
繪	绘	
繫	系	
繭	茧	蠒
繮	缰	韁
繯	缳	
繰	缲	
繳	缴	
繶	𫄷	
繹	绎	
繻	𦈡	
繼	继	
繽	缤	
繾	缱	
纁	𫄸	
纂		篹
纆	𬙊	
纈	缬	
纊	纩	
續	续	
纍	累	
纏	缠	
纓	缨	
纔	才	
纕	𬙋	
纖	纤	
纘	缵	
纜	缆	
罃	䓨	
罌	罂	甖
罎	坛	罈壜
罐		鑵
罔		㒺
罪		辠
置		寘
罰	罚	罸
罷	罢	
羅	罗	
羆	罴	
羈	羁	覊
羌		𦍑羗
群		羣
羥	羟	
義	义	
翅		翄
習	习	
翬	翚	
翱		翺
翳		瞖
翹	翘	
翻		繙飜
翽	翙	
耀		燿
考		攷
耕		畊
耬	耧	
耮	耢	
耻		恥
耽		躭
聖	圣	
聞	闻	
聯	联	
聰	聪	
聲	声	
聳	耸	
聵	聩	
聶	聂	
職	职	
聹	聍	
聽	听	
聾	聋	
肅	肃	
肛		疘
肯		肎
肴		餚
背		揹
胚		肧
胡		衚
胭		臙
胳		肐
胸		胷
脅	胁	脇
脆		脃
脉		脈䘑衇
脖		𩓐
脚		腳
脛		踁
脹	胀	
腌		醃
腎	肾	
腖	胨	
腡	脶	
腦	脑	
腫	肿	
腭		齶
腮		顋
腸	肠	膓
腿		骽
膀		髈
膕	腘	
膘		臕
膚	肤	
膝		厀
膞	䏝	
膠	胶	
膢	𦝼	
膩	腻	
膳		饍
膻		羴羶
膽	胆	
膾	脍	
膿	脓	
臀		臋
臉	脸	
臍	脐	
臏	膑	
臓	脏	
臘	腊	臈
臚	胪	
臠	脔	
臢	臜	
臨	临	
致		
臺	台	
與	与	
興	兴	
舉	举	擧
舊	旧	
舍		
船		舩
艙	舱	
艤	舣	
艦	舰	
艫	舻	
艱	艰	
艷	艳	豓豔
花		芲蘤
芸		
芻	刍	
苧	苎	
范		
草		艸
荔		茘
莅		涖蒞
莊	庄	
莖	茎	
莢	荚	
莧	苋	
華	华	
菱		蔆
萇	苌	
萊	莱	
萬	万	
萱		萲蕿蘐藼
萵	莴	
萼		蕚
葉	叶	
葒	荭	
葤	荮	
葦	苇	
葬		塟𦵏
葱		蔥
葷	荤	
蒂		蔕
蒓	莼	蓴
蒔	莳	
蒙		
蒼	苍	
蓀	荪	
蓋	盖	
蓑		簑
蓮	莲	
蓯	苁	
蓽	荜	
蔄	𬜬	
蔑		
蔔	卜	
蔞	蒌	
蔣	蒋	
蔦	茑	
蔭	荫	廕
蔿	𫇭	
蕁	荨	
蕆	蒇	
蕊		蕋橤蘂
蕎	荞	荍
蕒	荬	
蕓	芸	
蕕	莸	
蕘	荛	
蕢	蒉	
蕩	荡	盪
蕪	芜	
蕭	萧	
蕷	蓣	
薈	荟	
薊	蓟	
薌	芗	
薑	姜	
薔	蔷	
薘	荙	
薟	莶	
薦	荐	
薩	萨	
薯		藷
薴	苧	
薺	荠	
藉	借	
藍	蓝	
藎	荩	
藜		蔾
藝	艺	
藤		籐
藥	药	
藪	薮	
藭	䓖	
藴	蕴	
藶	苈	
藹	蔼	
藺	蔺	
蘀	萚	
蘄	蕲	
蘆	芦	
蘇	苏	甦蘓
蘋	苹𬞟	
蘚	藓	
蘞	蔹	
蘢	茏	
蘭	兰	
蘺	蓠	
蘿	萝	
虉	𬟁	
處	处	
虜	虏	虜
號	号	
虧	亏	
虬		虯
虱		蝨
虻		蝱
蚊		螡蟁
蚝		蠔
蛇		虵
